key,ru,ro,en
"ui.navDishes","Блюда","Bucate","Dishes"
"ui.navMenu","Меню","Meniu","Menu"
"ui.navBar","Бар","Bar","Bar"
"ui.navFind","Найти нас","Unde suntem","Find us"
"ui.navAbout","О нас","Despre noi","About"
"ui.navHome","← На главную","← Acasă","← Home"
"ui.navBack","← Назад","← Înapoi","← Back"
"ui.navAllMenu","Всё меню","Tot meniul","Full menu"
"ui.logoSub","Грузинский ресторан","Restaurant georgian","Georgian restaurant"
"ui.menuWordmark","Меню","Meniu","Menu"
"ui.seoHomeTitle","Gamarjoba — грузинский ресторан в Кишинёве","Gamarjoba — restaurant georgian în Chișinău","Gamarjoba — Georgian restaurant in Chișinău"
"ui.seoHomeDesc","Gamarjoba — ресторан традиционной грузинской кухни в Кишинёве. Хачапури, хинкали, мцвади на углях и вино из квеври. Гость — это подарок от Бога.","Gamarjoba — restaurant de bucătărie georgiană tradițională în Chișinău. Hachapuri, hinkali, mtsvadi pe cărbuni și vin din kvevri. Oaspetele e un dar de la Dumnezeu.","Gamarjoba — traditional Georgian restaurant in Chișinău. Khachapuri, khinkali, charcoal-grilled mtsvadi and qvevri wine. A guest is a gift from God."
"ui.seoMenuTitle","Меню — Gamarjoba","Meniu — Gamarjoba","Menu — Gamarjoba"
"ui.seoMenuDesc","Полное меню ресторана Gamarjoba: хачапури, хинкали, мангал, супы, салаты и десерты. Все цены в леях.","Meniul complet al restaurantului Gamarjoba: hachapuri, hinkali, grătar, supe, salate și deserturi. Toate prețurile în lei.","The full Gamarjoba menu: khachapuri, khinkali, grill, soups, salads and desserts. All prices in lei."
"ui.seoMenuOgTitle","Меню — Gamarjoba, грузинский ресторан в Кишинёве","Meniu — Gamarjoba, restaurant georgian în Chișinău","Menu — Gamarjoba, Georgian restaurant in Chișinău"
"ui.seoDishTitle","Блюдо — Gamarjoba","Preparat — Gamarjoba","Dish — Gamarjoba"
"ui.seoDishDesc","Блюдо из меню Gamarjoba — ресторана традиционной грузинской кухни в Кишинёве.","Un preparat din meniul Gamarjoba — restaurant de bucătărie georgiană tradițională în Chișinău.","A dish from the Gamarjoba menu — a traditional Georgian restaurant in Chișinău."
